8;LA TOUR-MAUBOURG;INVALIDES;0.000000
8;INVALIDES;CONCORDE;0.000000
8;CONCORDE;MADELEINE;0.000000
8;MADELEINE;OPERA;0.000000
8;OPERA;RICHELIEU - DROUOT;0.000000
8;RICHELIEU - DROUOT;GRANDS BOULEVARDS;0.000000
8;GRANDS BOULEVARDS;BONNE NOUVELLE;0.000000
8;BONNE NOUVELLE;STRASBOURG - SAINT-DENIS;0.000000
8;STRASBOURG - SAINT-DENIS;REPUBLIQUE;0.000000
8;REPUBLIQUE;FILLES DU CALVAIRE;0.000000
8;FILLES DU CALVAIRE;SAINT-SEBASTIEN - FROISSART;0.000000
8;SAINT-SEBASTIEN - FROISSART;CHEMIN VERT;0.000000
8;CHEMIN VERT;BASTILLE;0.000000
8;BASTILLE;LEDRU-ROLLIN;0.000000
8;LEDRU-ROLLIN;FAIDHERBE - CHALIGNY;0.000000
8;FAIDHERBE - CHALIGNY;REUILLY - DIDEROT;0.000000
8;REUILLY - DIDEROT;MONTGALLET;0.000000
8;MONTGALLET;DAUMESNIL (FELIX EBOUE);0.000000
8;DAUMESNIL (FELIX EBOUE);MICHEL BIZOT;0.000000
8;MICHEL BIZOT;PORTE DOREE;0.000000
8;PORTE DOREE;PORTE DE CHARENTON;0.000000
8;PORTE DE CHARENTON;LIBERTE;0.000000
8;LIBERTE;CHARENTON - ECOLES (PLACE ARISTIDE BRIAND);0.000000
8;CHARENTON - ECOLES (PLACE ARISTIDE BRIAND);ECOLE VETERINAIRE DE MAISONS-ALFORT;0.000000
8;ECOLE VETERINAIRE DE MAISONS-ALFORT;MAISONS-ALFORT - STADE;0.000000
8;MAISONS-ALFORT - STADE;MAISONS-ALFORT - LES JUILLIOTTES;0.000000
8;MAISONS-ALFORT - LES JUILLIOTTES;CRETEIL - L'ECHAT (HOPITAL HENRI MONDOR);0.000000
8;CRETEIL - L'ECHAT (HOPITAL HENRI MONDOR);CRETEIL - UNIVERSITE;0.000000
8;CRETEIL - UNIVERSITE;CRETEIL - PREFECTURE (HOTEL DE VILLE);0.000000
9;PONT DE SEVRES;BILLANCOURT;0.000000
9;BILLANCOURT;MARCEL SEMBAT;0.000000
9;MARCEL SEMBAT;PORTE DE SAINT-CLOUD (PARC DES PRINCES);0.000000
9;PORTE DE SAINT-CLOUD (PARC DES PRINCES);EXELMANS;0.000000
9;EXELMANS;MICHEL-ANGE - MOLITOR;0.000000
9;MICHEL-ANGE - MOLITOR;MICHEL-ANGE - AUTEUIL;0.000000
9;MICHEL-ANGE - AUTEUIL;JASMIN;0.000000
9;JASMIN;RANELAGH;0.000000
9;RANELAGH;LA MUETTE;0.000000
9;LA MUETTE;RUE DE LA POMPE (AVENUE GEORGES MANDEL);0.000000
9;RUE DE LA POMPE (AVENUE GEORGES MANDEL);TROCADERO;0.000000
9;TROCADERO;IENA;0.000000
9;IENA;ALMA - MARCEAU;0.000000
9;ALMA - MARCEAU;FRANKLIN D. ROOSEVELT;0.000000
9;FRANKLIN D. ROOSEVELT;SAINT-PHILIPPE DU ROULE;0.000000
9;SAINT-PHILIPPE DU ROULE;MIROMESNIL;0.000000
9;MIROMESNIL;SAINT-AUGUSTIN;0.000000
9;SAINT-AUGUSTIN;HAVRE - CAUMARTIN;0.000000
9;HAVRE - CAUMARTIN;CHAUSSEE D'ANTIN - LA FAYETTE;0.000000
9;CHAUSSEE D'ANTIN - LA FAYETTE;RICHELIEU - DROUOT;0.000000
9;RICHELIEU - DROUOT;GRANDS BOULEVARDS;0.000000
9;GRANDS BOULEVARDS;BONNE NOUVELLE;0.000000
9;BONNE NOUVELLE;STRASBOURG - SAINT-DENIS;0.000000
9;STRASBOURG - SAINT-DENIS;REPUBLIQUE;0.000000
9;REPUBLIQUE;OBERKAMPF;0.000000
9;OBERKAMPF;SAINT-AMBROISE;0.000000
9;SAINT-AMBROISE;VOLTAIRE (LEON BLUM);0.000000
9;VOLTAIRE (LEON BLUM);CHARONNE;0.000000
9;CHARONNE;RUE DES BOULETS;0.000000
9;RUE DES BOULETS;NATION;0.000000
9;NATION;BUZENVAL;0.000000
9;BUZENVAL;MARAICHERS;0.000000
9;MARAICHERS;PORTE DE MONTREUIL;0.000000
9;PORTE DE MONTREUIL;ROBESPIERRE;0.000000
9;ROBESPIERRE;CROIX DE CHAVAUX (PLACE JACQUES DUCLOS);0.000000
